Year,County, Code,Deaths,Population,Crude Rate
2012,Ashland ,39005,566,52962,1068.7
2012,Ashtabula ,39007,1155,100389,1150.5
2012,Athens ,39009,468,64304,727.8
2012,Auglaize ,39011,505,45831,1101.9
2012,Belmont ,39013,929,69671,1333.4
2012,Brown ,39015,459,44381,1034.2
2012,Butler ,39017,2906,370589,784.2
2012,Carroll ,39019,285,28587,997
2012,Champaign ,39021,373,39565,942.8
2012,Clark ,39023,1713,137206,1248.5
2012,Clermont ,39025,1612,199085,809.7
2012,Clinton ,39027,447,41886,1067.2
2012,Columbiana ,39029,1179,106507,1107
2012,Coshocton ,39031,410,36779,1114.8
2012,Crawford ,39033,541,42849,1262.6
2012,Cuyahoga ,39035,13780,1265111,1089.2
2012,Darke ,39037,535,52507,1018.9
2012,Defiance ,39039,376,38677,972.2
2012,Delaware ,39041,943,181061,520.8
2012,Erie ,39043,873,76398,1142.7
2012,Fairfield ,39045,1162,147474,787.9
2012,Fayette ,39047,346,28880,1198.1
2012,Franklin ,39049,8830,1195537,738.6
2012,Fulton ,39051,387,42513,910.3
2012,Gallia ,39053,356,30708,1159.3
2012,Geauga ,39055,761,93680,812.3
2012,Greene ,39057,1366,163587,835
2012,Guernsey ,39059,438,39817,1100
2012,Hamilton ,39061,7508,802038,936.1
2012,Hancock ,39063,703,75671,929
2012,Hardin ,39065,329,31627,1040.3
2012,Harrison ,39067,217,15714,1380.9
2012,Henry ,39069,280,28045,998.4
2012,Highland ,39071,499,42998,1160.5
2012,Hocking ,39073,300,29273,1024.8
2012,Holmes ,39075,293,43025,681
2012,Huron ,39077,587,59280,990.2
2012,Jackson ,39079,405,32954,1229
2012,Jefferson ,39081,979,68389,1431.5
2012,Knox ,39083,631,60705,1039.5
2012,Lake ,39085,2329,229582,1014.5
2012,Lawrence ,39087,745,62109,1199.5
2012,Licking ,39089,1539,167537,918.6
2012,Logan ,39091,458,45474,1007.2
2012,Lorain ,39093,2865,301478,950.3
2012,Lucas ,39095,4418,437998,1008.7
2012,Madison ,39097,407,43053,945.3
2012,Mahoning ,39099,3072,235145,1306.4
2012,Marion ,39101,715,66238,1079.4
2012,Medina ,39103,1404,173684,808.4
2012,Meigs ,39105,251,23593,1063.9
2012,Mercer ,39107,423,40875,1034.9
2012,Miami ,39109,993,103060,963.5
2012,Monroe ,39111,166,14549,1141
2012,Montgomery ,39113,5681,534325,1063.2
2012,Morgan ,39115,173,14911,1160.2
2012,Morrow ,39117,289,34938,827.2
2012,Muskingum ,39119,1005,85950,1169.3
2012,Noble ,39121,117,14579,802.5
2012,Ottawa ,39123,500,41339,1209.5
2012,Paulding ,39125,209,19295,1083.2
2012,Perry ,39127,341,36015,946.8
2012,Pickaway ,39129,526,56399,932.6
2012,Pike ,39131,336,28480,1179.8
2012,Portage ,39133,1384,161451,857.2
